of all the halloween 's , this is the most visually unappealing .	SST-2	0
on the evidence before us , the answer is clear : not easily and , in the end , not well enough .	SST-2	0
even accepting this in the right frame of mind can only provide it with so much leniency .	SST-2	0
the latest vapid actor 's exercise to appropriate the structure of arthur schnitzler 's reigen .	SST-2	0
too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay .	SST-2	0
spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .	SST-2	0
but its storytelling prowess and special effects are both listless .	SST-2	0
the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .	SST-2	0
the film starts promisingly , but the ending is all too predictable and far too cliched to really work .	SST-2	0
i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening , but it 's stupid .	SST-2	0
director george hickenlooper has had some success with documentaries , but here his sense of story and his juvenile camera movements smack of a film school undergrad , and his maudlin ending might not have gotten him into film school in the first place .	SST-2	0
the most horrific movie experience i 've had since `` ca n't stop the music . ''	SST-2	0
... the story simply putters along looking for astute observations and coming up blank .	SST-2	0
the story passes time until it 's time for an absurd finale of twisted metal , fireballs and revenge .	SST-2	0
collapses under its own meager weight .	SST-2	0
(carvey 's) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .	SST-2	0
williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity .	SST-2	1
a completely spooky piece of business that gets under your skin and , some plot blips aside , stays there for the duration .	SST-2	1
the year 's greatest adventure , and jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate .	SST-2	1
an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that only seems to care about the bottom line .	SST-2	1
the performers are so spot on , it is hard to conceive anyone else in their roles .	SST-2	1
however , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .	SST-2	1
short-story quaint , touchingly mending a child 's pain for his dead mother via communication with an old woman straight out of eudora welty .	SST-2	1
an uncluttered , resonant gem that relays its universal points without lectures or confrontations . '	SST-2	1
a well made indieflick in need of some trims and a more chemistry between its stars .	SST-2	1
adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel .	SST-2	1
it 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .	SST-2	1
elegant , mannered and teasing .	SST-2	1
a thoroughly engaging , surprisingly touching british comedy .	SST-2	1
a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact .	SST-2	1
simone is not a bad film .	SST-2	1
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .	SST-2	1
